1.5,Amsterdam,Postbus 2287,1000 CG AMSTERDAM
1.3.Midden-Nederland,Postbus 8300,3503 RH UTRECHT
1.1.Noord-Nederland,Postbus 107,9400 AC ASSEN
1.2,Oost-Nederland,Postbus 618,7300 AP APELDOORN
1.6,Den Haag,Postbus 264,2501 CG DEN HAAG
1.7,Rotterdam,Postbus 70023,3000 LD ROTTERDAM
1.8,Zeeland-West-Brabant,Postbus 8050,5004 GB TILBURG
1.10,Limburg,Postbus 1230,6201 BE MAASTRICHT
1.4,Noord-Holland,Postbus 57,2000 AB HAARLEM
1.9,Oost-Brabant,Postbus 90163,5200 MS DEN BOSCH
0,11,Landelijke eenheid,Postbus 100,3970 AC DRIEBERGEN
0,12,Politie Nederland,Postbus 17107,2502 CC DEN HAAG
